Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loa0_Status
9001112,0,1,0,1,0,3667,1459,144,360,1,0,1
9001114,1,0,0,1,0,4166,7210,184,360,1,1,1
9001116,1,0,0,0,0,3748,1668,110,360,1,0,1
9001119,1,0,0,1,0,3600,0,80,360,1,1,0
9001120,1,0,0,1,0,1800,1213,47,360,1,1,1
9001123,1,1,0,1,0,2400,0,75,360,10,1,1
9001131,1,1,0,1,0,3941,2336,134,360,1,0,1
9001136,1,1,0,0,1,4695,0,96,0,1,1,1
9001137,0,0,0,1,0,3410,0,88,0,1,1,1
9001138,1,1,1,1,0,5649,0,44,360,1,1,1
9001144,1,1,0,1,0,5821,0,144,360,1,1,1
9001146,0,1,0,1,0,2645,3440,120,360,0,1,0
9001151,0,0,0,1,0,4000,2275,144,360,1,0,1
9001155,0,1,0,0,0,1928,1644,100,360,1,0,1
9001157,0,0,0,1,0,3086,0,120,360,1,0,1
9001164,0,0,0,1,0,4230,0,112,360,1,0,0
9001179,1,1,2,1,0,4616,0,134,360,1,1,0
9001186,0,1,1,1,1,11500,0,286,360,0,1,0
9001194,1,1,2,1,0,2708,1167,97,360,1,0,1
9001195,1,1,0,1,0,2132,1591,96,360,1,0,1
9001197,1,1,0,1,0,3366,2200,135,360,1,0,0
9001198,1,1,1,1,0,8080,2250,180,360,1,1,1
9001199,1,1,2,0,0,3357,2859,144,360,1,1,1
9001205,1,1,0,1,0,2500,3796,120,360,1,1,1
9001206,1,1,3,1,0,3029,0,99,360,1,1,1
9001207,1,1,0,0,1,2609,3449,165,180,0,0,0
9001213,1,1,1,1,0,4945,0,0,360,0,0,0
9001222,0,0,0,1,0,4166,0,116,360,0,0,0
9001225,1,1,0,1,0,5726,4595,258,360,1,0,0
9001228,1,0,0,0,0,3200,2254,126,180,0,1,0
9001233,1,1,1,1,0,10750,0,312,360,1,1,1
9001238,1,1,3,0,1,7100,0,125,60,1,1,1
9001241,0,0,0,1,0,4300,0,136,360,0,0,0
9001243,1,1,0,1,0,3208,3066,172,360,1,1,1
9001245,1,1,2,0,1,1875,1875,97,360,1,0,1
9001248,1,0,0,1,0,3500,0,81,300,1,0,1
9001250,1,1,3,0,0,4755,0,95,0,0,0,0
9001253,1,1,3,1,1,5266,1774,187,360,1,0,1
9001255,1,0,0,1,0,3750,0,113,480,1,1,0
9001256,1,0,0,1,0,3750,4750,176,360,1,1,0
9001259,1,1,1,1,1,1000,3022,110,360,1,1,0
9001263,1,1,3,1,0,3167,4000,180,300,0,0,0
9001264,1,1,3,0,1,3333,2166,130,360,10,0,1
9001265,0,0,0,1,0,3846,0,111,360,1,0,1
9001266,1,1,1,1,1,2395,0,0,360,1,0,1
9001267,0,1,2,1,0,1378,1881,167,360,1,1,0
9001273,1,1,0,1,0,6000,2250,265,360,10,0,0
9001275,1,1,1,1,0,3988,0,50,240,1,1,1
9001279,1,0,0,1,0,2366,2531,136,360,1,0,1
9001280,1,1,2,0,0,3333,2000,99,360,10,0,1
9001282,1,1,0,1,0,2500,2118,104,360,1,0,1
9001289,1,0,0,1,0,8566,0,210,360,1,1,1
9001310,1,1,0,1,0,5695,4167,175,360,1,0,1
9001316,1,1,0,1,0,2958,2900,131,360,1,0,1
9001318,1,1,2,1,0,6250,5654,188,180,1,0,1
9001319,1,1,2,0,0,3273,1820,81,360,1,1,1
9001322,1,0,0,1,0,4133,0,122,360,1,0,1
9001325,1,0,0,0,0,3620,0,25,120,1,0,1
9001326,1,0,0,1,2,6782,0,0,360,10,1,0
9001327,0,1,0,1,0,2484,2302,137,360,1,0,1
9001333,1,1,0,1,0,1977,997,50,360,1,0,1
9001334,1,1,0,0,0,4188,0,115,180,1,0,1
9001343,1,1,0,1,0,1759,3541,131,360,1,0,1
9001345,1,1,2,0,0,4288,3263,133,180,1,1,1
9001349,1,0,0,1,0,4843,3806,151,360,1,0,1
9001350,1,1,10,1,0,13650,0,0,360,1,1,1
9001356,1,1,0,1,0,4652,3583,0,360,1,0,1
9001357,1,2,10,1,0,3816,754,160,360,1,1,1
9001367,1,1,1,1,0,3052,1030,100,360,1,1,1
9001369,1,1,2,1,0,11417,1126,225,360,1,1,1
9001370,1,0,0,0,2,7333,0,120,360,1,0,0
9001379,1,1,2,1,0,3800,3600,216,360,0,1,0
9001384,1,1,3,0,0,2071,754,94,480,1,0,1
9001385,1,0,0,1,0,5316,0,136,360,1,1,1
9001387,0,1,0,1,2,2929,2333,139,360,1,0,1
9001391,1,1,0,0,0,3572,4114,152,0,0,0,0
9001392,0,0,1,1,1,7451,0,0,360,1,0,1
9001398,1,0,0,1,2,5050,0,118,360,1,0,1
9001401,1,1,1,1,0,14583,0,185,180,1,0,1
9001404,0,1,0,1,0,3167,2283,154,360,1,0,1
9001405,1,1,1,1,0,2214,1398,85,360,10,1,1
9001421,1,1,0,1,0,5568,2142,175,360,1,0,0
9001422,0,0,0,1,0,10408,0,259,360,1,1,1
9001426,1,1,10,1,0,5667,2667,180,360,1,0,1
9001430,0,0,0,1,0,4166,0,44,360,1,0,1
9001431,0,0,0,1,0,2137,8980,137,360,0,0,1
9001432,1,1,2,1,0,2957,0,81,360,1,0,1
9001439,1,1,0,0,0,4300,2014,194,360,1,0,1
9001443,0,0,0,1,0,3692,0,93,360,10,0,1
9001448,2,1,3,1,0,23803,0,370,360,1,0,1
9001449,1,0,0,1,0,3865,1640,0,360,1,0,1
9001451,1,1,1,1,1,10513,3850,160,180,0,1,0
9001465,1,1,0,1,0,6080,2569,182,360,10,0,0
9001469,1,0,0,1,1,20166,0,650,480,10,1,1
9001473,1,0,0,1,0,2014,1929,74,360,1,1,1
9001478,1,0,0,1,0,2718,0,70,360,1,0,1
9001482,1,1,0,1,1,3459,0,25,120,1,0,1
9001487,1,0,0,1,0,4895,0,102,360,1,0,1
9001488,1,1,3,1,0,4000,7750,290,360,1,0,0
9001489,0,1,0,1,0,4583,0,84,360,1,0,0
9001491,1,1,2,1,1,3316,3500,88,360,1,1,1
9001492,1,0,0,1,0,14999,0,242,360,0,0,0
9001493,1,1,2,0,0,4200,1430,129,360,1,0,0
9001497,1,1,2,1,0,5042,2083,185,360,1,0,0
9001498,1,0,0,1,0,5417,0,168,360,1,1,1
9001504,1,0,0,1,1,6950,0,175,180,1,0,1
9001507,1,1,0,1,0,2698,2034,122,360,1,0,1
9001508,1,1,2,1,0,11757,0,187,180,1,1,1
9001514,0,1,0,1,0,2330,4486,100,360,1,0,1
9001516,0,1,2,1,0,14866,0,70,360,1,1,1
9001518,1,1,1,1,0,1538,1425,30,360,1,1,1
9001519,0,0,0,1,0,10000,1666,225,360,1,0,0
9001520,1,1,0,1,0,4860,830,125,360,1,0,1
9001528,1,0,0,1,0,6277,0,118,360,0,0,0
9001529,1,1,0,1,1,2577,3750,152,360,1,0,1
9001531,1,0,0,1,0,9166,0,244,360,1,1,0
9001532,1,1,2,0,0,2281,0,113,360,1,0,0
9001535,1,0,0,1,0,3254,0,50,360,1,1,1
9001536,1,1,3,1,0,39999,0,600,180,0,0,1
9001541,1,1,1,1,0,6000,0,160,360,10,0,1
9001543,1,1,1,1,0,9538,0,187,360,1,1,1
9001546,1,0,0,1,2,2980,2083,120,360,1,0,1
9001552,1,1,0,1,0,4583,5625,255,360,1,0,1
9001560,1,1,0,0,0,1863,1041,98,360,1,0,1
9001562,1,1,0,1,0,7933,0,275,360,1,1,0
9001565,1,1,1,1,0,3089,1280,121,360,0,0,0
9001570,1,1,2,1,0,4167,1447,158,360,1,0,1
9001572,1,1,0,1,0,9323,0,75,180,1,1,1
9001574,1,1,0,1,0,3707,3166,182,0,1,0,1
9001577,0,1,0,1,0,4583,0,112,360,1,0,0
9001578,1,1,0,1,0,2439,3333,129,360,1,0,1
9001579,1,0,0,1,0,2237,0,63,480,0,0,0
9001580,1,1,2,1,0,8000,0,200,360,1,0,1
9001581,1,1,0,0,2,1820,1769,95,360,1,0,1
9001585,2,1,3,1,0,51763,0,700,300,1,1,1
9001586,1,1,3,0,0,3522,0,81,180,1,0,0
9001594,1,1,0,1,0,5708,5625,187,360,1,0,1
9001603,1,1,0,0,1,4344,736,87,360,1,0,0
9001606,1,1,0,1,0,3497,1964,116,360,1,0,1
9001608,1,1,2,1,0,2045,1619,101,360,1,0,1
9001610,1,1,3,1,0,5516,11300,495,360,0,0,0
9001616,1,1,1,1,0,3750,0,116,360,1,0,1
9001630,1,0,0,0,0,2333,1451,102,480,0,1,0
9001633,1,1,1,1,0,6400,7250,180,360,0,1,0
9001634,1,0,0,1,0,1916,5063,67,360,10,0,0
9001636,1,1,0,1,0,4600,0,73,180,1,0,1
9001637,1,1,1,1,0,33846,0,260,360,1,0,0
9001639,0,1,0,1,0,3625,0,108,360,1,0,1
9001640,1,1,0,1,1,39147,4750,120,360,1,0,1
9001641,1,1,1,1,1,2178,0,66,300,0,0,0
9001643,1,1,0,1,0,2383,2138,58,360,10,0,1
9001644,2,1,0,1,1,674,5296,168,360,1,0,1
9001647,1,1,0,1,0,9328,0,188,180,1,0,1
9001653,1,0,0,0,0,4885,0,48,360,1,0,1
9001656,1,0,0,1,0,12000,0,164,360,1,0,0
9001657,1,1,0,0,0,6033,0,160,360,1,1,0
9001658,1,0,0,1,0,3858,0,76,360,1,0,1
9001664,1,0,0,1,0,4191,0,120,360,1,0,1
9001665,1,1,1,1,0,3125,2583,170,360,1,0,0
9001666,1,0,0,1,0,8333,3750,187,360,1,0,1
9001669,0,0,0,0,0,1907,2365,120,0,1,1,1
9001671,0,1,0,1,0,3416,2816,113,360,10,0,1
9001673,1,0,0,1,1,11000,0,83,360,1,1,0
9001674,1,1,1,0,0,2600,2500,90,360,1,0,1
9001677,1,0,2,1,0,4923,0,166,360,0,0,1
9001682,1,1,3,0,0,3992,0,0,180,1,1,0
9001688,1,1,1,0,0,3500,1083,135,360,1,1,1
9001691,1,1,2,0,0,3917,0,124,360,1,0,1
9001692,0,0,0,0,0,4408,0,120,360,1,0,1
9001693,0,0,0,1,0,3244,0,80,360,1,1,1
9001698,1,0,0,0,0,3975,2531,55,360,1,0,1
9001699,1,0,0,1,0,2479,0,59,360,1,1,1
9001702,1,0,0,1,0,3418,0,127,360,1,0,0
9001708,0,0,0,1,0,10000,0,214,360,1,0,0
9001711,1,1,3,1,0,3430,1250,128,360,0,0,0
9001713,1,1,1,1,1,7787,0,240,360,1,1,1
9001715,1,1,3,0,1,5703,0,130,360,1,0,1
9001716,1,1,0,1,0,3173,3021,137,360,1,1,1
9001720,1,1,3,0,0,3850,983,100,360,1,0,1
9001722,1,1,0,1,0,150,1800,135,360,1,0,0
9001726,1,1,0,1,0,3727,1775,131,360,1,0,1
9001732,1,1,2,1,2,5000,0,72,360,0,0,0
9001734,0,1,2,1,0,4283,2383,127,360,10,0,1
9001736,1,1,0,1,0,2221,0,60,360,0,1,0
9001743,1,1,2,1,0,4009,1717,116,360,1,0,1
9001744,1,0,0,1,0,2971,2791,144,360,1,0,1
9001749,1,1,0,1,0,7578,1010,175,0,1,0,1
9001750,1,1,0,1,0,6250,0,128,360,1,0,1
9001751,1,1,0,1,0,3250,0,170,360,1,0,0
9001754,1,1,10,0,1,4735,0,138,360,1,1,0
9001758,1,1,2,1,0,6250,1695,210,360,1,0,1
9001760,1,2,10,1,0,4758,0,158,480,1,0,1
9001761,1,0,0,1,1,6400,0,200,360,1,0,1
9001765,1,1,1,1,0,2491,2054,104,360,1,0,1
9001768,1,1,0,1,2,3716,0,42,180,1,0,1
9001770,1,0,0,0,0,3189,2598,120,0,1,0,1
9001776,0,0,0,1,0,8333,0,280,360,1,0,1
9001778,1,1,1,1,0,3155,1779,140,360,1,0,1
9001784,1,1,1,1,0,5500,1260,170,360,1,0,1
9001786,1,1,0,1,2,5746,0,255,360,10,1,0
9001788,0,0,0,1,1,3463,0,122,360,10,1,1
9001790,0,0,1,1,0,3812,0,112,360,1,0,1
9001792,1,1,1,1,0,3315,0,96,360,1,0,1
9001798,1,1,2,1,0,5819,5000,120,360,1,0,1
9001800,1,1,1,0,0,2510,1983,140,180,1,1,0
9001806,1,0,0,1,0,2965,5701,155,60,1,1,1
9001807,1,1,2,1,1,6250,1300,108,360,1,0,1
9001811,1,1,0,0,0,3406,4417,123,360,1,0,1
9001813,1,0,0,1,1,6050,4333,120,180,1,1,0
9001814,1,1,2,1,0,9703,0,112,360,1,1,1
9001819,1,1,1,0,0,6608,0,137,180,1,1,1
9001824,1,1,1,1,0,2882,1843,123,480,1,0,1
9001825,1,1,0,1,0,1809,1868,90,360,1,1,1
9001835,1,1,0,0,0,1668,3890,201,360,0,0,0
9001836,0,0,2,1,0,3427,0,138,360,1,1,0
9001841,1,0,0,0,1,2583,2167,104,360,1,0,1
9001843,1,1,1,0,0,2661,7101,279,180,1,0,1
9001844,1,0,0,1,1,16250,0,192,360,0,1,0
9001846,0,0,3,1,0,3083,0,255,360,1,0,1
9001849,1,0,0,0,0,6045,0,115,360,0,0,0
9001854,1,1,3,1,0,5250,0,94,360,1,1,0
9001859,1,1,0,1,0,14683,2100,304,360,1,0,0
9001864,1,1,3,0,0,4931,0,128,360,10,0,0
9001865,1,1,1,1,0,6083,4250,330,360,10,1,1
9001868,1,0,0,1,0,2060,2209,134,360,1,0,1
9001870,0,0,1,1,0,3481,0,155,36,1,0,0
9001871,0,0,0,1,0,7200,0,120,360,1,0,1
9001872,1,0,0,1,1,5166,0,128,360,1,0,1
9001875,1,0,0,1,0,4095,3447,151,360,1,0,1
9001877,1,1,2,1,0,4708,1387,150,360,1,0,1
9001882,1,1,3,1,0,4333,1811,160,360,0,1,1
9001883,0,0,0,1,2,3418,0,135,360,1,0,0
9001884,0,0,1,1,0,2876,1560,90,360,1,1,1
9001888,0,0,0,1,0,3237,0,30,360,1,1,1
9001891,1,1,0,1,0,11146,0,136,360,1,1,1
9001892,1,0,0,1,0,2833,1857,126,360,1,0,1
9001894,1,1,0,1,0,2620,2223,150,360,1,0,1
9001896,1,1,2,1,0,3900,0,90,360,1,0,1
9001900,1,1,1,1,0,2750,1842,115,360,1,0,1
9001903,1,1,0,1,0,3993,3274,207,360,1,0,1
9001904,1,1,0,1,0,3103,1300,80,360,1,1,1
9001907,1,1,0,1,0,14583,0,436,360,1,0,1
9001908,0,1,0,0,0,4100,0,124,360,10,0,1
9001910,1,0,1,0,1,4053,2426,158,360,0,1,0
9001914,1,1,0,1,0,3927,800,112,360,1,0,1
9001915,1,1,2,1,0,2301,985.7999878,78,180,1,1,1
9001917,0,0,0,1,0,1811,1666,54,360,1,1,1
9001922,1,1,0,1,0,20667,0,0,360,1,0,0
9001924,1,0,0,1,0,3158,3053,89,360,1,0,1
9001925,0,0,0,1,1,2600,1717,99,300,1,0,0
9001926,1,1,0,1,0,3704,2000,120,360,1,0,1
9001931,0,0,0,1,0,4124,0,115,360,1,0,1
9001935,1,0,0,1,0,9508,0,187,360,1,0,1
9001936,1,1,0,1,0,3075,2416,139,360,1,0,1
9001938,1,1,2,1,0,4400,0,127,360,0,0,0
9001940,1,1,2,1,0,3153,1560,134,360,1,1,1
9001945,0,0,10,1,0,5417,0,143,480,0,1,0
9001947,1,1,0,1,0,2383,3334,172,360,1,0,1
9001949,1,1,3,1,2,4416,1250,110,360,1,1,1
9001953,1,1,1,1,0,6875,0,200,360,1,0,1
9001954,0,1,1,1,0,4666,0,135,360,1,1,1
9001955,0,0,0,1,0,5000,2541,151,480,1,0,0
9001963,1,1,1,1,0,2014,2925,113,360,1,1,0
9001964,1,1,0,0,0,1800,2934,93,360,0,1,0
9001972,1,1,10,0,0,2875,1750,105,360,1,0,1
9001974,0,0,0,1,0,5000,0,132,360,1,0,1
9001977,1,1,1,1,0,1625,1803,96,360,1,1,1
9001978,1,0,0,1,0,4000,2500,140,360,1,0,1
9001990,1,0,0,0,0,2000,0,0,360,1,1,0
9001993,0,0,0,1,0,3762,1666,135,360,1,0,1
9001994,0,0,0,1,0,2400,1863,104,360,0,1,0
9001996,1,0,0,1,0,20233,0,480,360,1,0,0
9001998,1,1,2,0,0,7667,0,185,360,10,0,1
9002002,0,0,0,1,0,2917,0,84,360,1,0,1
9002004,1,0,0,0,0,2927,2405,111,360,1,0,1
9002006,0,0,0,1,0,2507,0,56,360,1,0,1
9002008,1,1,2,1,1,5746,0,144,84,10,0,1
9002024,2,1,0,1,0,2473,1843,159,360,1,0,0
9002031,1,1,1,0,0,3399,1640,111,180,1,1,1
9002035,1,1,2,1,0,3717,0,120,360,1,0,1
9002036,1,1,0,1,0,2058,2134,88,360,10,1,1
9002043,0,0,1,1,0,3541,0,112,360,10,0,1
9002050,1,1,1,1,1,10000,0,155,360,1,0,0
9002051,1,1,0,1,0,2400,2167,115,360,1,0,1
9002053,1,1,3,1,0,4342,189,124,360,1,0,1
9002054,1,1,2,0,0,3601,1590,0,360,1,0,1
9002055,0,0,0,1,0,3166,2985,132,360,10,0,1
9002065,1,1,3,1,0,15000,0,300,360,1,0,1
9002067,1,1,1,1,1,8666,4983,376,360,0,0,0
9002068,1,0,0,1,0,4917,0,130,360,0,0,1
9002082,1,1,0,1,1,5818,2160,184,360,1,0,1
9002086,0,1,0,1,0,4333,2451,110,360,1,1,0
9002087,0,0,0,1,0,2500,0,67,360,1,1,1
9002097,1,0,1,1,0,4384,1793,117,360,1,1,1
9002098,1,0,0,1,0,2935,0,98,360,1,0,1
9002100,1,0,10,1,0,2833,0,71,360,1,1,1
9002101,1,1,0,1,2,63337,0,490,180,1,1,1
9002103,2,1,1,1,1,9833,1833,182,180,1,1,1
9002106,1,1,10,1,1,5503,4490,70,0,1,0,1
9002110,1,1,1,1,2,5250,688,160,360,1,0,1
9002112,1,1,2,1,1,2500,4600,176,360,1,0,1
9002113,0,0,3,0,0,1830,0,0,360,0,1,0
9002114,0,0,0,1,0,4160,0,71,360,1,0,1
9002115,1,1,3,0,0,2647,1587,173,360,1,0,0
9002116,0,0,0,1,0,2378,0,46,360,1,0,0
9002119,1,1,1,0,0,4554,1229,158,360,1,1,1
9002126,1,1,3,0,0,3173,0,74,360,1,0,1
9002128,1,1,2,1,2,2583,2330,125,360,1,0,1
9002129,1,1,0,1,0,2499,2458,160,360,1,0,1
9002130,1,1,10,0,0,3523,3230,152,360,0,0,0
9002131,1,1,2,0,0,3083,2168,126,360,1,1,1
9002137,1,1,0,1,0,6333,4583,259,360,10,0,1
9002138,1,1,0,1,0,2625,6250,187,360,1,0,1
9002139,1,1,0,1,0,9083,0,228,360,1,0,1
9002140,1,0,0,1,0,8750,4167,308,360,1,0,0
9002141,1,1,3,1,0,2666,2083,95,360,1,0,1
9002142,0,1,0,1,1,5500,0,105,360,0,0,0
9002143,0,1,0,1,0,2423,505,130,360,1,0,1
9002144,0,0,10,1,0,3813,0,116,180,1,1,1
9002149,1,1,2,1,0,8333,3167,165,360,1,0,1
9002151,1,1,1,1,0,3875,0,67,360,1,1,0
9002158,1,1,0,0,0,3000,1666,100,480,0,1,0
9002160,1,1,3,1,0,5167,3167,200,360,1,0,1
9002161,0,0,1,1,0,4723,0,81,360,1,0,0
9002170,1,1,2,1,0,5000,3667,236,360,1,0,1
9002175,1,1,0,1,0,4750,2333,130,360,1,1,1
9002178,1,1,0,1,0,3013,3033,95,300,10,1,1
9002180,1,0,0,1,1,6822,0,141,360,1,0,1
9002181,1,0,0,0,0,6216,0,133,360,1,0,0
9002187,1,0,0,1,0,2500,0,96,480,1,0,0
9002188,1,0,0,1,0,5124,0,124,0,0,0,0
9002190,1,1,1,1,0,6325,0,175,360,1,0,1
9002191,1,1,0,1,0,19730,5266,570,360,1,0,0
9002194,0,0,0,1,1,15759,0,55,360,1,0,1
9002197,1,1,2,1,0,5185,0,155,360,1,0,1
9002201,1,1,2,1,1,9323,7873,380,300,1,0,1
9002205,1,0,1,1,0,3062,1987,111,180,0,1,0
9002209,0,0,0,1,2,2764,1459,110,360,1,1,1
9002211,1,1,0,1,0,4817,923,120,180,1,1,1
9002219,1,1,3,1,0,8750,4996,130,360,1,0,1
9002223,1,1,0,1,0,4310,0,130,360,10,0,1
9002224,1,0,0,1,0,3069,0,71,480,1,1,0
9002225,1,1,2,1,0,5391,0,130,360,1,1,1
9002226,1,1,0,1,2,3333,2500,128,360,1,0,1
9002229,1,0,0,1,0,5941,4232,296,360,1,0,1
9002231,0,0,0,1,0,6000,0,156,360,1,1,1
9002234,1,0,0,1,1,7167,0,128,360,1,1,1
9002236,1,1,2,1,0,4566,0,100,360,1,1,0
9002237,1,0,1,1,2,3667,0,113,180,1,1,1
9002239,1,0,0,0,0,2346,1600,132,360,1,0,1
9002243,1,1,0,0,0,3010,3136,0,360,0,1,0
9002244,1,1,0,1,0,2333,2417,136,360,1,1,1
9002250,1,1,0,1,0,5488,0,125,360,1,0,1
9002255,1,0,3,1,0,9167,0,185,360,1,0,1
9002262,1,1,3,1,0,9504,0,275,360,1,0,1
9002263,1,1,0,1,0,2583,2115,120,360,10,1,1
9002265,1,1,2,0,0,1993,1625,113,180,1,0,1
9002266,1,1,2,1,0,3100,1400,113,360,1,1,1
9002272,1,1,2,1,0,3276,484,135,360,10,0,1
9002277,0,0,0,1,0,3180,0,71,360,0,1,0
9002281,1,1,0,1,0,3033,1459,95,360,1,1,1
9002284,1,0,0,0,0,3902,1666,109,360,1,0,1
9002287,0,0,0,1,0,1500,1800,103,360,0,0,0
9002288,1,1,2,0,0,2889,0,45,180,0,1,0
9002296,1,0,0,0,0,2755,0,65,300,1,0,0
9002297,1,0,0,1,0,2500,20000,103,360,1,0,1
9002300,0,0,0,0,0,1963,0,53,360,1,0,1
9002301,0,0,0,1,1,7441,0,194,360,1,0,0
9002305,0,0,0,1,0,4547,0,115,360,1,0,1
9002308,1,1,0,0,0,2167,2400,115,360,1,1,1
9002314,0,0,0,0,0,2213,0,66,360,1,0,1
9002315,1,1,1,1,0,8300,0,152,300,0,0,0
9002317,1,1,3,1,0,81000,0,360,360,0,0,0
9002318,0,0,1,0,1,3867,0,62,360,1,0,0
9002319,1,1,0,1,2,6256,0,160,360,10,1,1
9002328,1,1,0,0,0,6096,0,218,360,0,0,0
9002332,1,1,0,0,0,2253,2033,110,360,1,0,1
9002335,0,1,0,0,0,2149,3237,178,360,0,0,0
9002337,0,0,0,1,0,2995,0,60,360,1,1,1
9002341,0,0,1,1,0,2600,0,160,360,1,1,0
9002342,1,1,2,1,1,1600,20000,239,360,1,1,0
9002345,1,1,0,1,0,1025,2773,112,360,1,0,1
9002347,1,1,0,1,0,3246,1417,138,360,1,0,1
9002348,1,1,0,1,0,5829,0,138,360,1,0,1
9002357,0,0,0,0,0,2720,0,80,0,0,1,0
9002361,1,1,0,1,0,1820,1719,100,360,1,1,1
9002362,1,1,1,1,0,7250,1667,110,0,0,1,0
9002364,1,1,0,1,0,14880,0,96,360,1,0,1
9002366,1,1,0,1,0,2666,4300,121,360,1,0,1
9002367,0,0,1,0,0,4606,0,81,360,1,0,0
9002368,1,1,2,1,0,5935,0,133,360,1,0,1
9002369,1,1,0,1,0,2920,16.12000084,87,360,1,0,1
9002370,1,0,0,0,0,2717,0,60,180,1,1,1
9002377,0,0,1,1,1,8624,0,150,360,1,0,1
9002379,1,0,0,1,0,6500,0,105,360,0,0,0
9002386,1,0,0,1,2,12876,0,405,360,1,0,1
9002387,1,1,0,1,0,2425,2340,143,360,1,0,1
9002390,1,0,0,1,0,3750,0,100,360,1,1,1
9002393,0,2,10,1,0,10047,0,0,240,1,0,1
9002398,1,0,0,1,0,1926,1851,50,360,1,0,1
9002401,1,1,0,1,0,2213,1125,0,360,1,1,1
9002403,1,0,0,1,1,10416,0,187,360,0,1,0
9002407,0,1,0,0,1,7142,0,138,360,1,0,1
9002408,1,0,0,1,0,3660,5064,187,360,1,0,1
9002409,1,1,0,1,0,7901,1833,180,360,1,0,1
9002418,1,0,3,0,0,4707,1993,148,360,1,0,1
9002422,1,0,1,1,0,37719,0,152,360,1,0,1
9002424,1,1,0,1,0,7333,8333,175,300,10,0,1
9002429,1,1,1,1,1,3466,1210,130,360,1,0,1
9002434,1,1,2,0,0,4652,0,110,360,1,0,1
9002435,1,1,0,1,2,3539,1376,55,360,1,0,0
9002443,1,1,2,1,0,3340,1710,150,360,0,0,0
9002444,1,0,1,0,1,2769,1542,190,360,10,0,0
9002446,1,1,2,0,0,2309,1255,125,360,0,0,0
9002447,1,1,2,0,0,1958,1456,60,300,10,1,1
9002448,1,1,0,1,0,3948,1733,149,360,0,0,0
9002449,1,1,0,1,0,2483,2466,90,180,0,0,1
9002453,1,0,0,1,1,7085,0,84,360,1,0,1
9002455,1,1,2,1,0,3859,0,96,360,1,0,1
9002459,1,1,0,1,0,4301,0,118,360,1,1,1
9002467,1,1,0,1,0,3708,2569,173,360,1,1,0
9002472,1,0,2,1,0,4354,0,136,360,1,0,1
9002473,1,1,0,1,0,8334,0,160,360,1,0,0
9002478,2,1,0,1,1,2083,4083,160,360,10,0,1
9002484,1,1,3,1,0,7740,0,128,180,1,1,1
9002487,1,1,0,1,0,3015,2188,153,360,1,0,1
9002489,0,0,1,0,2,5191,0,132,360,1,0,1
9002493,1,0,0,1,0,4166,0,98,360,0,0,0
9002494,1,0,0,1,0,6000,0,140,360,1,0,1
9002500,1,1,3,0,0,2947,1664,70,180,0,1,0
9002501,2,1,0,1,0,16692,0,110,360,1,0,1
